what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.discovery.core,1.5.2.r37x201302111927,"org.eclipse.wb.discovery.core",1370372591298
started,bundle,org.eclipse.wb.discovery.ui,1.5.2.r37x201302111927,"org.eclipse.wb.discovery.ui",1370372591299
os,sysinfo,,,"linux",1370372591303
arch,sysinfo,,,"x86_64",1370372591303
ws,sysinfo,,,"gtk",1370372591303
locale,sysinfo,,,"en_US",1370372591303
processors,sysinfo,,,"4",1370372591303
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1370372591303
java.runtime.version,sysinfo,,,"pxa6470sr4ifx-20130305_01 (SR4+IV37419)",1370372591303
java.specification.name,sysinfo,,,"Java Platform API Specification",1370372591303
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1370372591303
java.specification.version,sysinfo,,,"1.7",1370372591303
java.vendor,sysinfo,,,"IBM Corporation",1370372591303
java.version,sysinfo,,,"1.7.0",1370372591303
java.vm.info,sysinfo,,,"JRE 1.7.0 Linux amd64-64 Compressed References 20130205_137358 (JIT enabled, AOT enabled)\nJ9VM - R26_Java726_SR4_20130205_1656_B137358\nJIT  - r11.b03_20130131_32403\nGC   - R26_Java726_SR4_20130205_1656_B137358_CMPRSS\nJ9CL - 20130205_137358",1370372591303
java.vm.name,sysinfo,,,"IBM J9 VM",1370372591303
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1370372591303
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1370372591303
java.vm.specification.version,sysinfo,,,"1.0",1370372591303
java.vm.vendor,sysinfo,,,"IBM Corporation",1370372591303
java.vm.version,sysinfo,,,"2.6",1370372591303
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1370372591558
started,bundle,com.ibm.etools.wdt.server.core,1.1.0.v20130401_1657,"com.ibm.etools.wdt.server.core",1370372591575
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1370372591586
started,bundle,com.ibm.ws.st.core,1.0.101.v20130328_2103,"com.ibm.ws.st.core",1370372591790
started,bundle,com.ibm.ws.st.osgi.core,1.0.101.v20130328_2103,"com.ibm.ws.st.osgi.core",1370372591793
started,bundle,org.eclipse.wst.server.ui,1.3.2.v20121019_1547,"org.eclipse.wst.server.ui",1370372591817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370372603142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1370372609255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370372609280
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1370372610530
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1370372610569
activated,view,com.ibm.etools.project.explorer,7.5.101.v20120918_0238,"com.ibm.etools.ui.navigator.SDExplorer",1370372611862
activated,view,com.ibm.ccl.ws.finder.ui,1.0.200.v20121205_2240,"com.ibm.ccl.ws.finder.ui.view.services",1370372619281
activated,view,com.ibm.etools.project.explorer,7.5.101.v20120918_0238,"com.ibm.etools.ui.navigator.SDExplorer",1370372622567
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370372628896
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1370372629236
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1370372629240
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1370372629259
stopped,bundle,com.ibm.etools.webservice.discovery.core,7.0.300.v20121205_2240,"com.ibm.etools.webservice.discovery.core",1370372629606
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.701.v201204162207,"org.eclipse.jst.ws.axis.creation.ui",1370372629612
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.600.v201204162207,"org.eclipse.jst.ws.axis.consumption.ui",1370372629618
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1370372629619
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1370372629639
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1370372629640
